Surface,Height,TableLength,Size,Type,Distance
Smooth,H,Short,Big,Baseball,42.2
Smooth,H,Short,Big,Baseball,43.1
Smooth,H,Short,Big,Paperball,68.1
Smooth,H,Short,Big,Paperball,70.2
Smooth,H,Short,Small,Baseball,31.5
Smooth,H,Short,Small,Baseball,32.5
Smooth,H,Short,Small,Paperball,52.3
Smooth,H,Short,Small,Paperball,50.2
Smooth,H,Long,Big,Baseball,24.5
Smooth,H,Long,Big,Baseball,23.5
Smooth,H,Long,Big,Paperball,37.2
Smooth,H,Long,Big,Paperball,35.3
Smooth,H,Long,Small,Baseball,23.1
Smooth,H,Long,Small,Baseball,20.5
Smooth,H,Long,Small,Paperball,20.3
Smooth,H,Long,Small,Paperball,20.4
Smooth,L,Short,Big,Baseball,13.4
Smooth,L,Short,Big,Baseball,13.5
Smooth,L,Short,Big,Paperball,28.7
Smooth,L,Short,Big,Paperball,29.0
Smooth,L,Short,Small,Baseball,10.1
Smooth,L,Short,Small,Baseball,12.5
Smooth,L,Short,Small,Paperball,23.1
Smooth,L,Short,Small,Paperball,22.8
Smooth,L,Long,Big,Baseball,10.5
Smooth,L,Long,Big,Baseball,9.5
Smooth,L,Long,Big,Paperball,20.2
Smooth,L,Long,Big,Paperball,23.1
Smooth,L,Long,Small,Baseball,7.8
Smooth,L,Long,Small,Baseball,9.5
Smooth,L,Long,Small,Paperball,18.5
Smooth,L,Long,Small,Paperball,19.7
Rough,H,Short,Big,Baseball,41.8
Rough,H,Short,Big,Baseball,42.5
Rough,H,Short,Big,Paperball,69.5
Rough,H,Short,Big,Paperball,68.9
Rough,H,Short,Small,Baseball,31.5
Rough,H,Short,Small,Baseball,33.0
Rough,H,Short,Small,Paperball,51.4
Rough,H,Short,Small,Paperball,52.1
Rough,H,Long,Big,Baseball,22.4
Rough,H,Long,Big,Baseball,24.0
Rough,H,Long,Big,Paperball,35.9
Rough,H,Long,Big,Paperball,36.0
Rough,H,Long,Small,Baseball,23.1
Rough,H,Long,Small,Baseball,20.1
Rough,H,Long,Small,Paperball,20.4
Rough,H,Long,Small,Paperball,21.0
Rough,L,Short,Big,Baseball,13.0
Rough,L,Short,Big,Baseball,13.9
Rough,L,Short,Big,Paperball,29.1
Rough,L,Short,Big,Paperball,30.0
Rough,L,Short,Small,Baseball,10.8
Rough,L,Short,Small,Baseball,11.4
Rough,L,Short,Small,Paperball,22.9
Rough,L,Short,Small,Paperball,23.2
Rough,L,Long,Big,Baseball,11.4
Rough,L,Long,Big,Baseball,10.0
Rough,L,Long,Big,Paperball,19.8
Rough,L,Long,Big,Paperball,23.1
Rough,L,Long,Small,Baseball,8.1
Rough,L,Long,Small,Baseball,8.8
Rough,L,Long,Small,Paperball,19.0
Rough,L,Long,Small,Paperball,18.6
